Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release,Description
Steins;Gate,4.43 Masterpiece,"WHITE FOX Co., Ltd.",Visual Novel,Supernatural Thriller,~24min,TV-Series,24,2011,"The story takes place in Akihabara, Tokyo. Rintarou Okabe, a self-proclaimed mad scientiest, is an eccentric person who heads a Futuristic Gadget Research Laboratory. Together with his friends, Mayuri Shiina and Itaru Hashida, he invents all sorts of things that, in actual fact, often don’t have a practical use. Later, he accidently builds a time machine, the Phone Microwave. Contrary to his very own belief, the time machine actually works: From now onwards, he is able to send short mails through time to change the past and, eventually, affect the present.  Over the course of the story, Okabe Rintarou admits many other people as new members of his Future Gadget Lab like Kurisu Makise, an extremely intelligent 18-year-old scientist. Soon afterwards, the organisation SERN, that also does research on time travel, becomes aware of Rintarou and his effort to revolutionize the process of travelling through time."
Clannad: After Story,4.41 Masterpiece,"Kyoto Animation Co., Ltd.",Visual Novel,Sentimental Drama,~24min,TV-Series,24,2008,"The school years of Tomoya, Nagisa and their friends are slowly but surely coming to an end. The “After Story” starts right after the end of the first season of “Clannad” and covers the post-school years of the characters. The characters wonder how things will be now that school has finished. What answers will they find in their new stage of life?"
Fruits Basket: The Final Season,4.43 Masterpiece,"TMS Entertainment Co., Ltd.",Manga,Drama,~24min,TV-Series,13,2021,"“Fruits Basket” enters the final round! After a summer full of fun experiences, Tohru, Kyo and Yuki have to go back to school to graduate. Unfortunately, this also means that Kyo doesn’t have a lot of time left to stand his ground against Yuki and to win his bet with the head of the family, Akito. If he fails to win against Yuki this school year, he will be locked up for all eternity – like all those possessed by the spirit of the cat before him.  At the same time, Toru is still searching for a way to lift the curse of the Soumas. Although the meeting with Kureno has proven her powerlessness in contrast to Akito, she desperately wants to save Kyo from his predestined “fate”. But the ancient bonds that have held the carriers of the Chinese signs of the zodiac together for hundreds of years are already starting to crumble …"
GTO: Great Teacher Onizuka,4.41 Masterpiece,"Pierrot Co., Ltd.",Manga,Drama,~26min,TV-Series,43,1999,"The former teacher terror, Eikichi Onizuka, makes it his goal to become a teacher himself. His motivation? The pretty schoolgirls! Besides, the 22-year-old is not good for anything other than fighting. Unfortunately, his plan turns out to be much more difficult than initially thought because the stuffy colleagues and students are trying to make life hell for their teachers. But Onizuka wouldn’t be Onizuka if that didn’t spur him on. After all, he is the “GTO”, “Great Teacher Onizuka”!"
Oshi no Ko,4.39 Masterpiece,Doga Kobo,Manga,Sentimental Drama,~30min,TV-Series,11,2023,"In the entertainment industry, lies are an important weapon. The idol Ai Hoshino knows this very well. From the outside, she looks like a beautiful, perfect young girl who loves her fans more than anything, but behind this facade is a big secret: Ai is pregnant! In order not to meet any of her fans and maintain the illusion of the perfect idol, she decides to visit a doctor in a rural area. However, doctor Goro Amemiya knows the idol through his recently deceased patient, Sarina. Nevertheless: Ai entrusts him with the birth of her twins!  Days, weeks, and months pass, and the birth of Ai’s children finally arrives. The dream of a family is within reach! But unfortunately, Goro dies due to the attack of a stalker. But beware: this is by no means his end! Instead of dying, Goro is reborn as Aquamarine Hoshino, the son of his favourite idol Ai Hoshino. But his sister Ruby also seems to be the reincarnation of a deceased …"
Attack on Titan: Final Season Part 2,4.37 Masterpiece,"MAPPA Co., Ltd.",Manga,Action Drama,~24min,TV-Series,12,2022,"With “Attack on Titan: Final Season Part 2”, the second part of the fourth season of Hajime Isayama’s manga of the same name, “Attack on Titan” finally enters its final round and continues the story of Eren, Mikasa, Armin and the rest of the Survey Corps.  After Zeke unleashed the Thunder Spear and blew up Levi, they are found by Flocke and the other Yeagerists because of the explosion. While Zeke is stepping out healed of a small titan, Hanji takes her chance to escape with Levi’s remains. However, Zeke has a more important goal right now: to reunite with Eren in order to unleash the Founding Titan’s Rumbling and thus put their plan for the “euthanisation” of the Eldia into action.  At the same time, Marley launches a surprise attack on the Shiganshina district to recover the Founding Titan’s powers and prevent the end of the world. On board of one of the attacking ships is also Reiner. Together with Porco, the Jaw Titan, and Pieck, the Cart Titan, he launches an attack on Eren. Two old friends meeting where it all began … Meanwhile, Onyankopon frees the members of the Survey Corps and their friends, who have been locked up in a basement by the Yeagerists, with the request to help Eren. For he is the only one who can still save Paradis Island and the future of the Eldia."
That Time I Got Reincarnated as a Slime: Season 2,4.37 Masterpiece,"8bit Corp, Inc.",Light Novel,Adventure,~24min,TV-Series,12,2021,"The anime adaptation of author Fuse’s and illustrator Mitz Vah’s light novel “That Time I Got Reincarnated as a Slime” enters its second round. Having already befriended the mighty dragon Veldora, and having fortified both his power in the Jura Forest and the political and economic position of his kingdom, Rimuru felt it was time to fulfil his promise to Shizu. Therefore, he travelled with Ranga to a distant kingdom to take care of Shizu’s former disciples. These, like Rimuru himself, were summoned from the real world, nevertheless, their magic is unstable and threatens to kill them. Thanks to Ramiri, the fairy queen, and his own abilities, he was able to summon or create powerful spirits to help the children control their magic.  Now that he has kept his promise, it is time to travel back to his kingdom, not only because the demon lord Clayman and his masked men are up to no good, but also to finally take on Leon Cromwell—the man who summoned Shizu to this world, merged her to Ifrit against her will, and then left her behind … And what is it about an old acquaintance of Shizu’s who calls himself Kuro?"
Gintama (Episodes 266-316),4.37 Masterpiece,BANDAI NAMCO Pictures Inc.,Manga,Nonsense-Comedy,~24min,TV-Series,51,2015,"After a two-year screen break, Gintoki is back and apologises deeply for not finishing the show. After the big success in cinemas, the producers simply didn’t leave them any choice …  Not much has changed with the Everything Agency—and it won’t be long now, until there are new mishaps and missteps."
Erased,4.35 Masterpiece,A-1 Pictures Inc.,Manga,Supernatural Thriller,~23min,TV-Series,12,2016,"Protagonist Satoru Fujinuma possesses a supernatural ability which he calls “Revival.” This power causes him to time travel and sends him right back to before the occurance of certain life-threatening events, enabling him to prevent these tragedies.  When his life is being turned upside-down after having been discharged from the hospital, Satoru’s ability triggers and he is sent back to when he was an elementary school student—to around the time when his classmate Kayo went missing. Now it is on him to solve the mystery surrounding a series of kidnappings and to protect his childhood friends."
Mushoku Tensei: Jobless Reincarnation (Part 2),4.35 Masterpiece,"StudioBind Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2021,"“Mushoku Tensei: Jobless Reincarnation (Part 2)” tells the continuing story of young Rudeus Greyrat, who was a NEET in his previous life and was reborn in this world. After the Mana Disaster, practically all living beings were teleported wildly through the area; including Rudeus and Eris, who, to make matters worse, found themselves in the middle of the Demon Continent – and to top it off, their first contact on this new continent was, of all things, with one of the dreaded Supards! But fortunately this Supard, the warrior Ruijerd, turned out to be not nearly as dangerous as imagined and even agreed to accompany the two back to their homeland. With him, the two experienced many an adventure, but Rudeus in particular had to learn that the matter is not a game and that wrong decisions can have serious consequences.  Now the three finally reach a port city in the hope of securing passage. However, when the price turns out to be far too high, the three search the town for a solution and eventually meet the shady Gallus. After helping him, Rudeus and Eris can finally return to their home continent, but promptly realise that this time they may have helped the wrong group …"
Gintama (Episodes 253-265),4.36 Masterpiece,SUNRISE Inc.,Manga,Nonsense-Comedy,~24min,TV-Series,13,2012,"Sakata Gintoki, Kagura, and Shinpachi Shimura continue to scrape a living as freelance jack-of-all-trades at Edo while amidst the several odd humans and aliens that inhabit the peculiar metropolis."
Bleach: Thousand-Year Blood War,4.37 Masterpiece,"Pierrot Co., Ltd.",Manga,Fighting-Shounen,~25min,TV-Series,13,2022,"After an unchallenging mission against a horde of Hollows, Ichigo and his friends are attacked by a stranger called Asguiaro Ebern. Because the stranger wears a mask, Ichigo wonders if his new enemy might be an Arrancar. But then he catches sight of something familiar: a Quincy Cross! At the same time, the headquarters of the Gotei 13 are attacked by mysterious cloaked figures. Choujirou Sasakibe is taken out just as easily as all the other Shinigami who get in the way of the attackers. Their target is Shigekuni Yamamoto-Genryuusai, the Captain-Commander of Gotei 13, to whom they deliver a message: in five days, the Soul Society shall be wiped out by the Wandenreich! The attackers do not reveal their identity, though Yamamoto already has an idea of who they are anyway. There is not much time to prepare because soon, the time will come: the war between the Shinigami and Quincy!"
Attack on Titan: Final Season,4.35 Masterpiece,"MAPPA Co., Ltd.",Manga,Action Drama,~24min,TV-Series,16,2020,"In “Attack on Titan: Final Season”, the fourth and final season of the anime adaptation of Hajime Isayama’s manga of the same name, we follow Eren, Mikasa, Armin, and the rest of the Scout Regiment one last time on their adventures inside and outside the walls of their small world. After setting out under cheers and encouraging shouts into their previous battle to reclaim Wall Maria and the Shiganshina District from the Titans, they were faced by a whole four Intelligent Titans – including the dreaded Beast Titan … The battle was long and bitter, but in the end the Scout Regiment claimed victory – a victory for mankind! Wall Maria is closed, Shiganshina is habitable again, and the power of the Colossal Titan is now in the hands of the Scout Regiment!  But the price for this victory was high … The regiment was reduced to nine members, Reiner and the Beast Titan were able to escape, and Levi, Hanji, and co were met with a cruel decision: who should be saved with the Titan Serum – Erwin or Armin? And the answers they found in Eren’s basement didn’t make their fate any more bearable either, as they now know that the enemy is not “just a few titans”, but the whole world and that their true adversary, far beyond their walls, on the other side of the vast ocean, is plotting against them …"
Oshi no Ko 2,4.36 Masterpiece,Doga Kobo,Manga,Drama,~24min,TV-Series,13,2024,"After filming “I’ll Go with Sweet Today” and taking part in the reality dating show “LoveforReal”, Aqua has no time to catch his breath as his next project is already on the horizon: the 2.5D theatre play based on the hit manga “Tokyo Blade” by the theatre group Lalalay. But he has an ulterior motive: his deceased mother, Ai, may have met her lover in the group, and the director of the play, Toshirou Kindaichi, may know more. But things are not that simple …  Akane and Kana don’t always have it easy during the rehearsals for “Tokyo Blade” either: a heated battle of two geniuses breaks out between them, which only one can win. Despite Akane’s ability to perfectly portray a character’s innermost being, the original lacks character depth. Currently, she has the advantage due to her ability to adapt to her playing partners, especially as her current playing partner is Lalalay’s star actor. The mangaka of the original work doesn’t necessarily make things any easier for the young actors when she wants to change the entire script again after five days of rehearsals …  Ruby, Kana, and Mem-Cho also try to build up their career as idols together. But their path is not necessarily easy either. Will they manage it all and achieve their goals? Or are their careers in show business doomed to failure at a young age?"
The Dangers in My Heart: Season 2,4.36 Masterpiece,"Shin-ei Animation Co., Ltd.",Manga,Romantic Comedy,~23min,TV-Series,13,2024,"Kyoutarou is still suffering from his broken arm. As this makes everyday school life a little difficult for him, his teacher wants him to get help from a fellow pupil. He suggests Anna because he has noticed that the two are very close. Kyoutarou, however, denies this fact, which is why he gets a nasty look from Anna, who has overheard everything. Things only get better between the two when Kyoutarou bites the bullet and admits that Anna is the one he prefers to accept help from.  During the cooking class, the students talk about what they did during the winter holidays. Honoka talks about visiting a shrine with Kenta at New Year. Honoka doesn’t want to appear superficial, but the sideburns Kenta has grown really bother her, so much so that she tells him to his face during cooking class.  When Anna learns that she is to blame for Kyoutarou’s broken arm, she feels remorseful and withdraws. To make matters worse, she realises she has lost the valuable dog chain Kyoutarou bought her in Akita. Anna is so upset that she starts to cry. Despite his broken arm and lots of fresh snow, Kyoutarou searches Anna’s way home. He finds the chain, and Anna is in tears again – but this time with joy.  Kyoutarou and Anna get on very well, even if the two seem like opposites at first glance. But when will Kyoutarou finally have the courage to confess his feelings to the girl he once wanted to kill …?"
Kaguya-sama: Love Is War - Ultra Romantic,4.35 Masterpiece,A-1 Pictures Inc.,Manga,Romantic Comedy,~25min,TV-Series,13,2022,"With “Kaguya-sama: Love Is War - Ultra Romantic”, the war between Kaguya Shinomiya and Miyuki Shirogane enters its third round! Who will be the first to obtain a confession from the other? Who will have to admit defeat?  The members of the student council of Shuchiin Academy are back and ready to fight! With Miko Ino as “reinforcement”, Miyuki, Kaguya, Chika and Yuu make a well rehearsed team. Together, they battle their way through everyday situations. Whether it’s deciding who’s the strongest in the student council, writing sweet messages via “Line” or other stupid things – they have a lot of fun! However, they must not forget their main goal: make the other confess first, because … love is war!"
That Time I Got Reincarnated as a Slime: Season 2 (Part 2),4.34 Masterpiece,"8bit Corp, Inc.",Light Novel,Adventure,~24min,TV-Series,12,2021,"In the second part of the second season of the anime adaptation to the light novel “Tensei Shitara Slime datta Ken”, slime monster Rimuru faces new challenges! During his absence, the nation of Tempest had become the target of a coordinated attack by the Kingdom of Falmuth and the Holy Church of the West. As the enemy forces prepared for the decisive battle, Rimuru managed to return home under adverse circumstances. In a clever move, Rimuru’s friends finally broke through the enemy blockades around the city-state. Meanwhile, he himself single-handedly eliminated Falmuth’s advancing army. But victory came at a price: In order to save his fallen friends, Rimuru had no choice but to become a Demon Lord himself. While his evolution was accompanied by a significant increase in his powers, the appearance of a new demon lord has inevitably drawn further attention and shakes the region’s power structure.  With new allies on his side, Rimuru now prepares to plan his future course of action. There is still a danger of the enemy invaders re-gathering for a new attack. Clayman, who played an essential role in the first attack on the young nation, must not escape unscathed either. And finally, it is necessary to find out what Milim is up to, who in the meantime attacked Rimuru’s allies in Eurazania and razed its capital to the ground …"
Hunter × Hunter (2011),4.34 Masterpiece,MADHOUSE Inc.,Manga,Fighting-Shounen,~24min,TV-Series,148,2011,"Gon’s biggest wish is to become a Hunter. These are protectors of the balance between humans and the environment. That way, he wants to find is lost father, who is also a Hunter. Together with his new companions Kurapica, Leorio and Killua, Gon goes on an adventure whose extent he would have never even imagined during his Hunter Examination …  “Hunter × Hunter (2011)” is the remake of the successful series from 1999 which continues the story."
Demon Slayer: Kimetsu no Yaiba,4.33 Masterpiece,"ufotable, Inc.",Manga,Action Drama,~24min,TV-Series,26,2019,"The legend of a man-eating demon that haunts woods has been around for ages. As a result, the locals no longer dare go out at night. Legend has it that Demon Slayers are wandering the land to hunt down such bloodthirsty demons. For young Tanjirou these legends that he thought nothing but fairy tales to keep children from going out at night soon become cruel reality …  Ever since his father’s death, Tanjirou has dedicated himself to keeping his family alive and safe. Despite their harsh lives, they have managed to be happy so far, but this comforting warmth of bliss is gruesomely destroyed when Tanjirou finds his family slaughtered … by one of those fairy-tale monsters: a demon! Only his sister Nezuko has survived, but she has turned into a demon herself. Surprisingly, Nezuko still shows signs of human emotions and thought. Thus, Tanjirou sets out to become a Demon Slayer himself in order to keep his sister safe and to find a way to turn her back into a human …!"
Haikyu!! To the Top (Part 2),4.34 Masterpiece,"Production I.G., Inc.",Manga,Ganbatte,~24min,TV-Series,12,2020,"“Haikyuu!! To the Top (2020)” is the second half of the fourth season and throws the viewer back into the events of the national tournament of high schools, which had begun in the first half. Karasuno High School managed to win their first game, but their second opponent is one of the most feared in the whole competition—Inarizaki High School, who not only placed second at the “Inter-High-School National Tournament 2012,” but also has a veritable army of supports who came along.  Karasuno High School’s team must once more outgrow themselves—it remains to be seen what Tobio Kageyama and Kei Tsukishima have learned in their training camps. After Inarizaki shock their opponent with an opening ace, there is a clash in which Karasuno won’t let themselves get beaten down, despite the irritating fan support. Then, however, the opponent turns the tables in a way that Shouyou Hinata and his teammates would never have dreamed of in their worst nightmares …"
Attack on Titan: Season 3,4.33 Masterpiece,"WIT STUDIO, Inc.",Manga,Action Drama,~24min,TV-Series,12,2018,"The third season of the “Attack on Titan” anime adaptation seamlessly continues the events of its predecessor: Eren and his comrades of the 104th are now part of the newly formed Levi Squad, whose mission is to protect Eren and Historia. However, Eren with his new Titan hardening ability and Historia with all her knowledge and lineage are not only of great importance for the Survey Corps around Erwin and Levi … Other powers are also interested in getting their hands on the two, albeit for entirely different purposes than Erwin! This is also confirmed by the brutal torture death of the priest, whom Hanji brought to a supposedly safe place. The suspicion is obvious that the military police have a hand in this and the Survey Corps’ new (human) enemy doesn’t make them wait for long. A hot battle breaks out between Levi and an old acquaintance, whom he remembers only too well from his youth …"
Demon Slayer: Kimetsu no Yaiba - Swordsmith Village Arc,4.33 Masterpiece,"ufotable, Inc.",Manga,Action Drama,~29min,TV-Series,11,2023,"After the devil siblings Gyuutarou and Daki have been defeated by the demon hunters Tanjirou, Inosuke, Zenitsu and the “Sound Hashira” Tengen in the entertainment district, the demon king Muzan Kibutsuji calls the “Twelve Upper Moon” to a meeting in the Infinity Castle to inform them of the loss of his allies. In the process, Muzan gives the “Upper Moon” number 5, Gyokko, and number 4, Hantengu, a special mission.  After awakening from his coma, Tanjiro decides to visit the Swordsmiths Village, where Tanjirou has to explain to Hotaru Haganezuka, the blacksmith who made his sword, the reasons for the severe damage to his weapon. He also meets the “Love Hashira” Mitsuri Kanroji there, who reveals to him that there is a rumour of a secret weapon near the village that is supposed to make one stronger. While searching for this weapon, he suddenly encounters the “Mist Hashira” Muichirou Tokitou together with a familiar person. What awaits Tanjirou?"
Mushi-Shi: The Next Passage 2,4.34 Masterpiece,Animation Studio Artland Inc.,Manga,Drama,~24min,TV-Series,10,2014,"Mushi; the life-blood of nature. They exist everywhere in various forms: micro-organisms, fungi, bodies of water. Sometimes, they’re even mistaken to be plants, animals, or spirits. But regardless of their appearance, they exist, nonetheless, living the only way they know how. At times, their actions can cause strange or unexplainable phenomena. Enter Ginko, the Mushishi (mushi master), as he continues encountering, studying, and dealing with the mysterious mushi along his journey into the unknown."
Haikyu!! 3rd Season,4.33 Masterpiece,"Production I.G., Inc.",Manga,Ganbatte,~24min,TV-Series,10,2016,Now the time has come: Karasuno High School will compete in the finals against the unbeatable elite high school called Shiratorizawa. Will Hinata and his team prevail or will they get swept under the rug? A five set match is played that requires stamina and strength.
Gintama (Episodes 202-252),4.33 Masterpiece,SUNRISE Inc.,Manga,Nonsense-Comedy,~25min,TV-Series,51,2011,After a break of one year everyone at odd jobs changed. Gintoki became a true hero while Kagura matured to a true beauty. Only Shinpachi seems to be left out. Unable to get used to his changed environment he tries to find a fitting place to stay just to end up with the Shinsengumi. But they weren’t left out. Hijikata is now a sissy while Yamazaki mutated to an anpan-addicted bad ass. But it seems there’s a dark secret behind all the changes. Can Shimpanchi and Hijikata solve the mystery and change everything back to how it was?
Gintama (Episodes 317-328),4.34 Masterpiece,BANDAI NAMCO Pictures Inc.,Manga,Nonsense-Comedy,~24min,TV-Series,12,2017,"Weeks after Gintoki, Kagura and Shinpachi rebelled against the bakufu, they now have to hide together with Katsura and the Joui Rebels. All the while, Imai Nobume entreats the Yorozuya for an assignment. During their conversation with her, Katsura and Gintoki find out more about their former teacher. Afterwards, two members of the Kiheitai turn up. This was instigated by Nobume, so the Yorozuya, the Kihetai, and the Kaientai of Sakamoto unite, to save Takasugi and Kamui from Utsuro and his Harusame."
